carat,cut,color,clarity,depth,table,price,x,y,z
0.31,Ideal,I,SI1,61.5,55,436,4.36,4.39,2.69
0.43,Very Good,F,SI1,62.5,56,792,4.82,4.85,3.02
1.71,Ideal,I,VVS2,61.9,57,13660,7.62,7.67,4.73
1.01,Premium,I,SI2,59.4,57,3971,6.59,6.57,3.91
0.73,Very Good,E,VS2,62.9,58,3184,5.7,5.75,3.6
2,Premium,I,VS2,60.7,60,16694,8.07,8.02,4.88
0.31,Ideal,E,VS1,60.1,55,638,4.42,4.53,2.69
0.32,Premium,H,SI1,60.9,60,591,4.43,4.4,2.69
0.38,Very Good,F,SI2,60.1,60,644,4.7,4.75,2.84
1.22,Very Good,I,SI2,62.9,56,5072,6.79,6.84,4.29
1.13,Ideal,G,VS1,61,58,7687,6.71,6.74,4.1
0.92,Ideal,F,SI2,61.5,53,4691,6.26,6.3,3.86
0.39,Ideal,G,VS1,62.6,55,1008,4.66,4.69,2.93
0.91,Premium,D,SI1,62.3,60,4663,6.21,6.15,3.85
0.25,Very Good,E,VVS1,60.2,59,575,4.11,4.13,2.48
0.31,Premium,H,VS2,59.7,61,628,4.42,4.39,2.63
1.6,Premium,H,VS1,60,59,12210,7.61,7.58,4.56
0.37,Ideal,F,VS1,61.1,56,846,4.64,4.65,2.84
0.31,Premium,H,VVS2,61.2,59,625,4.34,4.38,2.67
0.91,Very Good,F,VS2,60.8,57,4606,6.24,6.25,3.8
0.84,Fair,F,VS2,65,57.2,3172,5.83,5.87,3.81
0.73,Ideal,J,VS2,62,56,2258,5.76,5.79,3.58
0.27,Very Good,D,VVS2,61.6,59,620,4.15,4.16,2.56
0.53,Ideal,E,SI1,61.6,56,1607,5.23,5.19,3.21
0.3,Ideal,F,IF,61.4,56,886,4.32,4.34,2.66
0.92,Premium,H,SI1,62.4,58,3624,6.19,6.22,3.87
1.14,Very Good,F,VS2,58.3,60,7293,6.87,6.91,4.02
0.4,Very Good,E,VS2,62.9,55,912,4.72,4.73,2.97
0.53,Very Good,E,SI1,59.7,59,1415,5.27,5.29,3.15
0.4,Very Good,E,SI1,63,57,687,4.65,4.68,2.94
0.51,Good,G,SI1,63.7,55,1259,5.1,5.07,3.24
0.83,Good,G,VS2,63.7,60.9,3195,5.84,5.92,3.75
0.61,Premium,H,SI1,59.5,62,1382,5.55,5.51,3.29
1.15,Ideal,D,VS2,61,57,10546,6.76,6.78,4.13
1.5,Very Good,H,SI1,60.7,63,9660,7.3,7.27,4.42
1.02,Premium,F,SI2,62.5,58,3754,6.47,6.4,4.02
0.42,Premium,F,VS2,60.1,61,1013,4.88,4.84,2.92
0.41,Premium,E,VVS1,62.2,58,1367,4.75,4.77,2.96
0.32,Ideal,E,VS2,60.2,57,960,4.51,4.46,2.7
0.33,Very Good,F,SI1,60.9,54,588,4.47,4.52,2.73
1,Very Good,I,VS2,63.2,58,3265,6.43,6.32,4.03
0.53,Very Good,H,SI2,61.4,57,1046,5.21,5.25,3.21
0.55,Ideal,G,VS1,61.6,55,1881,5.32,5.29,3.27
0.41,Ideal,F,VVS2,61.2,56,1115,4.78,4.8,2.93
2.04,Premium,F,SI2,60.2,58,18231,8.24,8.17,4.94
1.11,Premium,F,VS2,63,56,6589,6.62,6.49,4.15
0.52,Ideal,H,SI1,61.7,55,1245,5.17,5.21,3.2
1.01,Premium,F,VS1,61.4,60,7792,6.45,6.39,3.94
1.52,Ideal,J,SI2,62.7,56,6089,7.28,7.2,4.54
