AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,NewLeague
215,51,4,19,18,11,1,215,51,4,19,18,11,A,E,116,5,12,70,A
458,114,13,67,57,48,4,1350,298,28,160,123,122,A,W,246,389,18,475,A
586,159,12,72,79,53,9,3082,880,83,363,477,295,N,E,181,13,4,1043.333,N
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,N,W,105,290,10,775,N
399,102,3,56,34,34,5,670,167,4,89,48,54,A,W,211,9,3,80,A
579,174,7,67,78,58,6,3053,880,32,366,337,218,N,E,280,479,5,657,N
496,119,8,57,33,21,7,3358,882,36,365,280,165,N,W,155,371,29,875,N
510,126,2,42,44,35,11,5562,1578,44,703,519,256,N,W,207,358,20,737.5,N
551,171,13,94,83,94,13,6090,1840,128,969,900,917,N,E,1199,149,5,1800,N
313,78,6,32,41,12,12,3742,968,35,409,321,170,N,W,106,206,7,416.667,N
584,157,20,95,73,63,10,4704,1320,93,724,522,576,A,E,276,421,11,420,A
461,112,18,54,54,35,2,680,160,24,76,75,49,A,W,111,226,11,135,A
317,78,7,35,35,32,1,317,78,7,35,35,32,A,E,45,122,26,70,A
306,104,14,50,58,25,7,2954,822,55,313,377,187,N,E,116,222,15,750,N
236,56,6,41,19,21,5,1257,329,24,166,125,105,A,E,172,1,4,190,A
442,131,18,68,77,33,6,1416,398,47,210,203,136,A,E,233,7,7,550,A
199,53,5,29,22,21,3,514,120,8,57,40,39,A,W,152,3,5,75,A
283,77,14,45,47,26,16,6840,1910,259,915,1067,546,A,W,144,6,5,700,A
408,94,4,42,36,66,9,3573,866,59,429,365,410,N,W,282,487,19,535,N
303,71,3,18,30,36,3,344,76,3,20,36,45,N,E,468,47,6,100,N
404,92,11,54,49,18,6,1354,325,30,188,135,63,A,E,222,5,5,300,A
20,1,0,0,0,0,2,41,9,2,6,7,4,N,E,78,220,6,2127.333,N
591,157,16,90,78,26,4,2020,541,52,310,226,91,N,E,290,440,25,640,N
369,93,9,43,42,49,5,1258,323,54,181,177,157,A,E,149,1,6,350,A
220,54,10,30,39,31,5,1185,299,40,145,154,128,N,E,50,136,20,297.5,N
403,101,12,45,53,39,12,5150,1429,166,747,666,526,A,E,316,6,5,675,A
