id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
6073230230,2014-12-31T00:00:00Z,425000,3,2.25,1400,6970,2,0,0,3,8,1400,0,1984,0,98006,47.542,-122.184,1800,8140
2301400655,2014-11-25T00:00:00Z,775000,4,1.75,2090,5050,1,0,0,4,7,1090,1000,1916,0,98117,47.6802,-122.358,1760,5000
5589300145,2014-05-27T00:00:00Z,415000,3,2.25,1950,8868,1,0,0,3,7,1350,600,1964,0,98155,47.7538,-122.312,1300,8880
0809000525,2014-08-26T00:00:00Z,872500,3,2.5,2040,6000,1,0,0,3,8,1840,200,1951,0,98109,47.6334,-122.35,1820,4920
9808100150,2015-04-02T00:00:00Z,3345000,5,3.75,5350,15360,1,0,1,3,11,3040,2310,2008,0,98004,47.648,-122.218,3740,15940
6306100080,2014-09-09T00:00:00Z,234950,3,2,1430,10850,1,0,0,3,7,1430,0,1994,0,98001,47.2671,-122.233,1610,8015
0031000165,2014-09-11T00:00:00Z,1490000,5,3.5,3620,7821,2,0,2,3,10,2790,830,1958,2010,98040,47.5738,-122.215,2690,9757
1024000050,2014-07-18T00:00:00Z,915000,3,2.75,3390,7000,1,0,3,4,8,1740,1650,1979,0,98116,47.5701,-122.408,1770,6500
6071300180,2014-07-14T00:00:00Z,525000,5,2.5,2360,10081,1,0,0,4,7,1180,1180,1961,0,98006,47.5552,-122.178,2200,10461
0100500020,2014-09-11T00:00:00Z,250000,3,2.5,1610,6600,2,0,0,3,7,1610,0,1994,0,98003,47.2827,-122.302,1660,7689
1922059027,2015-01-23T00:00:00Z,282510,4,1,1450,32234,1.5,0,0,4,6,1450,0,1932,0,98030,47.3818,-122.21,1530,10125
8073000585,2014-07-15T00:00:00Z,840500,4,2.25,2290,12174,1,1,4,3,7,1490,800,1948,0,98178,47.5114,-122.245,2290,9379
5651010150,2015-05-10T00:00:00Z,435000,3,2.5,1930,5790,2,0,0,4,7,1930,0,1988,0,98011,47.7733,-122.17,1790,4901
3323500030,2014-06-04T00:00:00Z,1270000,5,2.5,3200,17204,1,0,0,3,7,2160,1040,1952,0,98004,47.6209,-122.222,4090,15732
1775800510,2015-03-24T00:00:00Z,432000,4,1,1750,12528,1,0,0,4,7,1750,0,1967,0,98072,47.743,-122.097,1550,14120
3275300440,2014-11-20T00:00:00Z,230000,2,2,1260,10200,1,0,0,3,7,1020,240,1983,0,98003,47.2593,-122.312,1560,10200
7883605985,2015-03-30T00:00:00Z,439000,3,2.25,3020,6000,3,0,2,3,8,1980,1040,1994,0,98108,47.5249,-122.319,1150,6000
4305500030,2015-05-01T00:00:00Z,625000,3,2.5,3220,6409,2,0,0,3,9,3220,0,2008,0,98059,47.4815,-122.127,3330,6231
1924059254,2015-05-08T00:00:00Z,1295000,5,3.75,3490,15246,1,0,1,4,10,1940,1550,1968,0,98040,47.5479,-122.212,3410,15682
9541600110,2015-04-30T00:00:00Z,1325000,3,2.5,3590,8400,1,0,0,3,9,2950,640,1958,2007,98005,47.595,-122.173,1620,7875
1898200100,2014-05-28T00:00:00Z,355000,3,2.5,2400,9701,1,0,0,3,9,2400,0,1990,0,98023,47.3081,-122.392,2400,8258
0114100758,2014-10-22T00:00:00Z,420000,2,1,960,112384,1,0,0,3,7,960,0,1955,0,98028,47.7642,-122.234,1210,24875
6882520050,2014-10-07T00:00:00Z,250000,3,1,930,6060,1,0,0,4,6,930,0,1973,0,98118,47.5289,-122.28,1640,6364
1025069192,2014-11-05T00:00:00Z,929000,4,3.25,4030,57499,2,0,0,3,9,4030,0,2002,0,98053,47.6617,-122.026,3470,57499
1724069043,2014-06-18T00:00:00Z,739888,3,2.5,2420,43177,2,0,4,4,8,1690,730,1989,0,98075,47.569,-122.058,3740,8717
1524059027,2014-05-06T00:00:00Z,675000,2,1,930,36478,1,0,2,3,6,930,0,1951,0,98006,47.5699,-122.164,2800,11141
1868901815,2014-06-17T00:00:00Z,547000,4,1,1720,2800,1.5,0,0,4,7,1200,520,1926,0,98115,47.6743,-122.299,1530,3500
2558670110,2014-08-29T00:00:00Z,419000,3,2.25,1700,7650,1,0,0,4,7,1340,360,1975,0,98034,47.7214,-122.166,1980,7200
3298600850,2014-12-16T00:00:00Z,235000,3,1.75,1370,14030,1,0,0,4,8,1370,0,1977,0,98092,47.2969,-122.163,2100,15260
2787250080,2015-03-27T00:00:00Z,535000,4,2.5,2750,15099,2,0,0,3,8,2750,0,1994,0,98019,47.7298,-121.972,2500,14564
7527000020,2015-04-25T00:00:00Z,792000,3,2.5,2250,19270,2,0,0,3,8,2250,0,1999,0,98074,47.6569,-122.088,2940,19541
7899800863,2014-10-01T00:00:00Z,299900,3,2.5,1210,2046,2,0,0,3,9,920,290,2008,0,98106,47.5212,-122.357,1070,651
5702380780,2015-04-22T00:00:00Z,240000,3,1.75,1540,6687,1,0,0,3,7,1200,340,1991,0,98022,47.1938,-121.981,1540,7242
6918700320,2015-03-06T00:00:00Z,685000,5,2.5,1900,7843,2,0,0,5,7,1900,0,1966,0,98008,47.6273,-122.123,1900,7350
