murders,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
yes,33510,2.47,7.76,87.03,1.67,10.77,9.81,24.68,10.15,14.98,33510,100,41495,75.22,0.35,47.82,29.56,5.91,12.85,51090,20993,22421,10722,7494,19446,12306,2659,8.31,6.43,17.01,28.67,5.54,60.41,9.97,25.96,9.93,32.9,9.65,36.38,11.67,10.72,3.05,74.22,69.11,91.68,70.36,46.36,61.72,698,2.95,4672,10.68,17.23,25.26,34.27,1.49,2.4,3.52,4.78,80.95,2.98,6.35,3.77,2.35,2.56,2.14,55.35,6.25,62.29,2,1766,88.5,50.9,3.74,59.68,1955,1.63,0.29,153300,187600,240100,86800,537,678,864,327,758,27.9,23.3,16.9,0,0,13.94,72.49,55.11,82.37,93.36,2.2,15151.9,21.82,0
no,16813,3.02,0.08,99.33,0.24,0.86,14.58,25.15,11.33,7.6,16813,100,46119,87.7,1.2,59.54,20.53,2.92,14.45,47763,15983,16035,0,4617,12000,14367,442,2.66,3.88,13.6,18.34,2.93,73.97,26.89,18.35,16.05,24.88,5.33,24.16,6.01,5.67,3.28,89.16,87.61,97.1,89.36,67.85,76.56,56,0.46,322,5.28,5.28,9.01,13.35,0.1,0.1,0.17,0.26,96.21,0.66,4.29,3.67,3,3.11,2.4,87.83,1.08,23.25,3,196,96.6,84.79,1.02,30.1,1970,0.07,0.19,76900,91700,113900,37000,435,545,648,213,620,24.9,20.9,13.3,0,0,1.92,83.19,58.45,72.52,96.22,32.4,519.7,0.53,0
yes,30206,2.69,27.22,65.22,0.79,9.64,15.25,27.47,13.94,13.37,0,0,22357,71.95,1.14,31.87,30.15,7.75,14.47,27833,12527,15518,6405,5003,32622,9308,6133,20.94,13.67,31.05,18.83,6.37,55.7,20.98,28.59,18.38,25.05,11.06,26.28,14.36,12.84,3.2,70.39,64.41,76.94,68.8,61.92,69.31,826,3.28,1576,15.93,24.56,39.85,49.94,0.83,1.28,2.08,2.61,90.33,2.23,6.74,4.74,2.61,2.64,2.57,61.12,6.66,47.49,3,1266,89.86,60.46,4.19,43.52,1968,8.01,0.6,30900,47800,69300,38400,204,274,347,143,350,25,18.6,13.6,39,0,5.22,79.43,50.5,80.94,94.94,24.4,1236.1,0.41,0
yes,69101,2.67,9.93,85.14,4.12,1.31,26.06,45.3,32.02,7.48,69101,100,22059,82.93,1.76,45.96,16.91,4.87,10.49,34598,12452,13355,6933,11495,7637,9915,13195,22.42,5.02,12.8,44.98,4.91,60.7,6.25,44.51,7.78,35.91,7.46,50.96,10.34,8.97,2.93,70.25,67.89,82.87,62.6,69.78,74.98,1903,5.69,4162,40.92,55.89,62.88,71.48,2.46,3.37,3.79,4.31,91.64,1.57,3.23,1.83,2.27,2.54,2.06,48.96,2.44,55.05,2,1710,93.79,43.76,2.92,26.67,1969,3.85,0.16,54200,73400,101600,47400,234,306,378,144,382,29,17.9,11.9,57,3,6.02,59.86,27.44,52.34,80.9,45.9,1504.7,1.29,0
yes,106612,2.59,52.19,47.15,0.42,0.62,15.33,28.24,14.46,13.24,106640,100,21038,70.67,0.51,27.02,31.3,15.47,17.48,26256,11502,16387,7122,12652,9684,11608,25178,24.38,15.65,36.08,15.32,8.38,54.52,14.05,25.25,16.66,21.95,13.84,34.09,17.81,16.07,3.13,51.01,44.24,52.82,51.94,62.9,69.49,9297,10.44,893,28.89,38.63,42.33,47.14,0.24,0.32,0.35,0.39,96.97,0.38,6.16,4.11,2.5,2.55,2.46,50.66,4.67,52.08,2,4324,90.5,49.67,12.65,42.99,1960,9.45,0.65,35700,49300,71000,35300,139,238,329,190,336,27.5,18.8,12.9,138,50,0.84,81.46,51.22,84.56,92.82,49.6,2149.4,2.76,6.92
yes,65674,2.06,0.99,97.62,0.84,1.95,8.01,19.71,8.96,28.99,65690,100,24296,61.15,0.43,48.47,46.13,3.62,27.26,30141,14539,14596,11602,10435,11754,10910,4788,7.42,6.32,22.95,13.81,3.9,50.42,14.16,19.76,11.8,22.78,11.73,21.18,13.81,12.87,2.55,69.53,67.29,83.27,72.76,69.15,75.24,637,1.2,3946,10.77,18.25,21.16,24.08,0.65,1.1,1.27,1.45,93.02,0.63,1.67,1,2.02,2.05,1.95,67.02,1.35,78.45,2,6790,82.46,65.83,0.24,24.42,1974,3.38,0.19,58300,71500,92500,34200,351,401,477,126,473,27.3,22,11.5,56,0,6.01,15.35,49.15,75.53,79.03,14.6,4484.7,0.6,0
no,57546,2.68,0.58,98.4,0.64,0.64,15.22,26.93,14.36,13.79,57546,100,27027,74.53,1.14,52.26,31.05,6.47,18.8,32881,12377,12488,4593,7034,4741,5222,5958,10.9,9.4,21.58,19.42,5.01,61.98,21.58,29.68,15.86,24.8,6.79,31.41,8.34,7.63,3.11,79.61,79.66,85.11,83.59,71.52,76.35,814,1.62,839,28.72,32.66,39.09,42.19,0.42,0.48,0.57,0.62,96.5,0.69,4.58,3.22,2.52,2.77,2.02,72.8,1.28,43.34,3,940,95.8,66.11,3.94,42.23,1952,2.37,0.18,38800,51600,67400,28600,195,255,330,135,315,24.2,16.1,12.1,79,84,1.46,77.04,56.88,84.39,89.32,23.9,2409,1.1,0
yes,12257,3,96.67,2.68,0.47,0.3,28.82,41.83,30.37,12.99,0,0,15531,72.45,0.96,16.81,26.17,12.42,19.67,21123,7554,11408,7462,0,6934,1706,3763,36.18,13.67,27.97,27.59,16.51,42.6,7.47,48.76,13.92,31.01,8.28,57.52,13.42,11.2,3.3,38.55,29.93,31.73,32.61,79.94,81.3,1650,16.95,233,23.61,35.62,38.63,51.07,0.45,0.68,0.73,0.97,96.02,0.7,9.64,5.65,2.51,2.54,2.48,52.44,6.53,45.28,3,626,86.72,51.82,9.74,48.56,1970,11.96,0.91,35900,50800,70000,34100,115,197,273,158,299,35.1,21.2,13.7,0,0,1.9,68.73,47.63,73.14,80.34,15.8,777.7,0.13,0
yes,29771,3.29,79.99,15.08,0.27,6.49,18.68,31.61,16.21,7.56,29767,100,23201,75.58,0.58,15.59,25.27,20.55,14.31,26531,8690,11482,8229,4834,7158,7197,7486,25.57,13.23,33.29,7.96,17.3,54.09,17.06,26.88,21.85,15.82,13.56,43.4,18.64,16.28,3.78,46.13,37.44,42.44,48.54,61.77,68.29,3618,14.17,1315,10.57,18.78,24.03,42.28,0.47,0.83,1.06,1.87,91.31,1.97,16.69,12.64,3.25,3.34,3.11,60.6,11.29,46.19,3,1234,88,58.83,29.5,50.32,1955,15.23,0.63,40700,49900,60500,19800,265,357,447,182,453,35.1,22.3,13.3,51,0,4.42,67.35,57,93.88,95.17,6.4,4637.2,14.33,0
no,20429,3.14,1.34,94.55,3.56,2.52,14.88,25.19,12.32,7.46,18018,88.2,57484,87.79,0.73,58.74,19.95,2.48,16.18,60837,20564,20718,20181,15919,15931,21820,466,2.29,5.42,13.81,29.98,3.25,71.37,17.66,20.25,9.49,33.09,5.21,27.46,6.9,6.07,3.39,89.81,87.84,96.16,90.85,48.42,65.42,83,0.61,1529,4.84,10.6,14.45,18.05,0.36,0.79,1.08,1.35,89.77,1.23,4.72,4.08,3.13,3.19,2.68,90.1,0.89,17.36,3,302,95.56,88.41,1.99,30.79,1963,0.95,0.28,152700,188600,238200,85500,496,655,838,342,746,24.7,22.8,15.5,0,0,7.48,64.06,69.86,85.65,93.47,22.1,923.4,1.78,0
