nonViolPerPop,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
6568.61,11553,2.05,16.71,78.47,3.7,1.72,18.2,53.03,32.36,4.06,11553,100,19799,93.23,1.18,45.93,7.46,2.95,6.06,35632,12604,13305,9891,3972,11261,9382,3392,29.43,3.41,11.13,56.72,4.87,71.79,6.32,49.06,4.71,38.35,8.26,58.22,10.76,9.6,2.75,64.9,65.5,81.65,71.09,67.81,69.44,345,8.12,746,45.04,59.52,70.38,71.18,2.91,3.84,4.54,4.6,92.67,1.89,1.04,0.44,2.05,2.39,1.94,28.37,1.56,75.95,2,471,92.29,24.3,0.85,18.9,1977,3.19,0.25,69700,90700,113300,43600,331,384,461,130,463,34.1,24,15.4,7,0,6.46,48.55,16.96,40.73,69.73,3.7,3156.6,9.72,0
1908.07,27901,2.64,0.93,95.98,2.43,2.01,12.18,21.94,10.52,10.62,19758,70.81,57464,82.28,1,66.96,23.53,2.05,17.12,66046,26073,26394,21336,12285,18928,15005,651,2.35,3.27,9.41,46.21,2.84,69.97,14,26.96,5.09,44.86,6.03,26.47,9.2,7.7,3.06,86.12,86.01,98.06,86.15,58.28,70.71,123,0.65,1901,9.42,16.89,22.09,24.62,0.64,1.15,1.51,1.68,90.63,0.68,2.89,2.19,2.62,2.75,2.15,82.57,0.6,31.23,3,395,96.39,78.69,0.76,47.09,1968,0.36,0.05,179900,227600,289000,109100,409,650,792,383,698,24.4,22.2,13.5,0,0,6.81,56.16,58.73,83.46,88.9,53.2,524.3,2.49,0
5615.18,16189,2.41,23.06,70.73,2.51,13.65,9.1,28.07,12.04,12.82,16189,100,42748,82.46,0.66,51.96,25.8,4.42,12.49,49718,22036,25204,13370,18017,28552,10887,1116,7.27,8.68,21.61,32.43,5.03,67.6,14.89,26.99,8.67,33.98,11.17,43.72,14.65,13.02,3.01,63.87,58.69,80.47,69.8,63.48,71.72,648,6.08,3166,26.85,46.3,51.74,60.99,5.25,9.06,10.12,11.93,77.58,6.4,7.62,4.25,2.28,2.61,2.08,43.15,5.27,62.26,2,349,95.06,37.6,2.87,30.95,1951,2.1,0,168900,205800,248800,79900,444,595,754,310,640,24,22.5,14.3,62,1,19.56,49.73,46.68,71.81,82.64,3,5316.9,5.88,0
2243.88,13002,2.47,2.55,95.22,1.36,1.85,11.05,27.67,11.56,6.1,12814,98.55,44335,89.31,1.35,45.26,14.97,1.94,8.92,49356,20519,20840,14018,14594,19440,13921,481,3.73,2.21,7.51,36.94,2.63,75.34,11.98,17.67,4.96,37.48,9.76,24.84,15.61,12.84,2.95,80.28,80.8,92.68,74.03,57.84,67.58,89,1.15,634,24.45,38.49,48.58,53,1.19,1.88,2.37,2.58,91.65,1.21,2.05,1.41,2.45,2.67,2.15,62.19,1.01,46.15,3,622,89.43,57,0.48,16.88,1985,0.19,0.25,87600,119800,169200,81600,493,548,612,119,630,22.8,24.1,12.6,0,0,4.88,35.31,30.38,47.97,66.1,19.7,659.9,1.14,0
5715.12,43929,2.74,0.58,95.34,1.22,4.18,15.77,28.02,12.99,9.29,43929,100,29887,83.25,1.31,44.45,21.63,5.12,13.93,35162,13107,13219,11416,9472,15223,6295,4557,10.5,5.12,15.78,25.72,4.75,66.09,9.69,32.97,10.55,35.66,9.58,25.86,12.61,11.11,3.29,80.14,80.14,87.53,82.55,57.52,67.78,345,0.96,1095,9.04,19.45,34.98,39.36,0.23,0.48,0.87,0.98,94.48,0.98,8.98,6.39,2.71,2.92,2.33,69.71,3.28,43.24,3,828,95.08,64.81,2.17,33.21,1963,4.79,0.14,47600,63400,85300,37700,222,293,370,148,364,22.9,16.8,11.6,32,1,2.49,55.31,48.64,74.18,81.44,15,2923.1,16.97,0
1832.19,11712,2.38,5.16,93.4,1.12,0.92,10.37,24.64,11.01,15.54,11712,100,35795,77,1.27,55.57,32.79,4.26,20.27,44171,17626,17914,15210,39000,9352,7032,397,3.39,3.44,12.09,30.06,3.84,66.79,13.18,31.42,7.74,35.32,7.7,31.53,10.38,9.18,3.08,81.37,81.12,93.58,88.35,64.44,72.49,133,1.61,549,11.11,14.39,16.76,21.49,0.52,0.67,0.79,1.01,93.68,0.62,4.93,3.07,2.38,2.75,1.71,74.42,0.87,41.43,3,198,96.13,64.33,2.02,26.26,1939,1.61,1.23,85200,106500,128900,43700,390,469,550,160,535,25.9,22.3,15.4,0,0,4.69,79.28,61.84,84.57,94.37,1.2,9600,15.85,0
2184.17,11657,2.74,0.1,99.05,0.51,1.16,14.18,27.12,12.71,12.04,0,0,29042,80.49,1.59,38.98,29.34,4.9,19.09,33971,12563,12584,6388,19646,5723,12481,873,7.77,9.35,24.39,13.01,4.44,62.55,20.2,21.2,19.06,21.74,10.27,22.76,13.06,11.78,3.14,79.41,76.25,91.87,82.14,72.57,75.53,100,0.98,166,9.64,9.64,15.06,15.06,0.14,0.14,0.21,0.21,96.93,0.39,4.43,3.34,2.64,2.74,2.44,69.67,2.09,42.4,3,176,96.02,67.12,1.14,43.18,1959,4.57,0.63,42300,57400,79100,36800,254,323,380,126,403,22.2,16.2,12.1,0,0,1.42,76.22,51.27,79.75,92.56,6.4,1832.9,0,0
3634.11,24529,3.03,4.97,79.18,12.87,8.47,13.03,21.25,8.89,6.08,24529,100,56571,88.28,2.45,56.4,14.3,1.37,9.86,60301,24200,26341,16535,8366,16413,16948,610,2.5,3.33,9.32,43.06,4.08,70.61,12.31,26.94,4.82,44.55,5.52,20.57,8.07,6.83,3.31,90.41,88.59,97.45,93.33,64.92,70.73,205,1.35,3538,8.82,13.76,32.31,43.81,1.27,1.99,4.66,6.32,78.83,1.68,4.55,3.86,3.01,3.09,2.61,85.29,2.75,15.35,3,479,94.42,83.05,0.21,21.29,1980,0.57,0.14,69700,92700,160600,90900,467,556,682,215,723,22.1,21.9,12.5,0,0,14.42,51.69,47.58,62.28,89.55,12.7,1929.6,1.39,0
2214.86,12358,2.6,1.5,96.16,1.73,1.32,11.1,26.02,11.95,13.3,12358,100,43593,82.41,0.66,55.37,29.9,3.95,19.82,48350,17593,17736,14705,0,13404,14291,370,3.04,7.74,22.67,16.3,4.62,70.09,25.1,15.89,12.9,24.27,8.17,30.51,11,9.62,3,80.9,78.78,90.43,85.31,76.29,83.36,87,0.91,821,13.64,23.51,28.87,39.22,0.91,1.56,1.92,2.61,90.45,0.96,3.34,2.46,2.57,2.68,2.19,79.64,1.28,36.38,3,171,96.53,76.17,0.58,26.9,1958,0.63,0,128100,145100,168500,40400,426,559,679,253,666,24.2,20.1,12.1,0,6,6.64,63.59,60.32,89.71,92.18,9.4,1320.8,2.14,0
3913.02,22355,2.49,2.89,89.61,4.85,9.24,10.62,26.76,11.77,15.26,22355,100,33311,78.45,0.55,44.14,31.16,3.76,15.38,40760,15542,15626,18154,0,15364,10221,1368,6.12,17.26,33.67,15.29,7.04,62.03,23.21,14.09,16.06,22.29,8.7,31.6,11.46,10.17,3.08,75.2,72.57,84.5,73.94,49.84,61.12,297,1.96,4457,11.04,23.11,33.77,43.59,2.2,4.61,6.73,8.69,69.43,4.69,4.89,3.29,2.47,2.75,2.27,48.34,4.47,66.13,2,504,94.68,43.57,2.78,39.48,1955,2.13,0.07,151200,177700,206500,55300,484,604,686,202,658,28,25.7,19,0,0,19.94,59.85,61.89,85.14,91.48,2.3,9533.9,6.03,0
