ViolentCrimesPerPop,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
327.36,50686,3.6,5.86,52.11,34.67,18.61,13.26,29.39,13.21,4.59,50686,100,55730,92.55,0.77,43.89,11.41,7.01,12.52,57156,17520,19154,15339,9411,16529,11426,2317,4.9,7.41,19.05,24.89,4.86,68,41.3,13.63,14.27,29.83,10.77,35.3,12.98,11.8,3.63,80.2,73.15,89.53,80.31,69.66,74.75,1250,3.73,15598,15.11,24.9,37.36,51.83,4.65,7.66,11.5,15.95,58.98,6.95,12.96,10.63,3.37,3.36,3.38,69.5,16.16,37.63,3,366,97.47,69.61,1.37,10.93,1973,0.55,0.3,211000,255600,321600,110600,664,802,960,296,869,27.3,25.7,11.1,0,0,30.77,42.19,42.19,77.31,86.6,14.3,3556.4,3.02,0
245.51,18692,2.37,0.64,95.5,2.48,2.05,11.87,24.54,10.91,13.44,18692,100,29693,76.86,0.57,45.83,29.09,4.55,18.24,34982,13955,14050,24002,14456,8975,12674,1549,8.35,4.17,15.13,17.55,4.6,64.16,18.2,19.48,18.19,23.74,12.35,25.99,16.74,14.68,2.92,71.39,71.15,78.45,74.26,63.71,71.65,162,1.15,813,3.81,7.26,20.17,30.14,0.17,0.32,0.88,1.31,94.42,0.75,3.23,2.11,2.35,2.57,2.05,63.48,2.04,47.16,3,270,96.7,58.1,1.48,20.37,1964,2.09,0.24,54000,65600,78200,24200,315,380,445,130,438,23.9,19.7,12.7,12,1,4.35,54.62,50.8,71.7,90.16,4.9,3789.9,3.83,0
1020.91,61741,2.47,23.62,75.32,0.41,0.84,13.36,25.2,11.67,13.95,61741,100,23958,72.28,0.45,34.47,29.66,7.4,15.97,30185,12390,14491,5771,9106,11574,8372,10386,17.2,10.03,26.96,17.49,5.39,58.79,11.5,23.24,13.27,25.46,13.03,25.54,16.32,14.81,3,63.45,57.72,72.07,64.87,65.29,72.04,2704,5.46,695,8.92,9.78,16.26,20.86,0.1,0.11,0.18,0.23,97.12,0.47,4.52,3.06,2.42,2.52,2.28,61.24,3.08,47.34,3,2268,91.68,58.88,4.85,33.51,1965,6.72,0.27,39600,56100,79900,40300,178,272,353,175,370,26.9,18.5,12.9,35,7,1.13,74.23,52.85,83.89,90.33,41.2,1500,1.58,9.68
581.57,13425,2.76,0.57,88.39,5.85,29.4,12.86,28.54,12.71,12.48,13425,100,33969,80.02,0.8,37.44,26.37,3.81,15.48,37304,13763,13953,19673,10000,11982,12246,1515,11.55,22.09,42.64,15.25,7.53,61.36,25.84,14.57,24.78,15.78,7.29,36.31,9.93,8.63,3.22,78.15,74.61,83.44,79.83,58.57,63.1,324,3.52,5599,17.72,27.86,37.52,46.97,7.39,11.62,15.65,19.59,43.94,16.23,6.27,4.51,2.71,2.88,2.62,35.47,9,65.21,2,262,94.88,33.37,4.96,41.22,1947,5.41,3.57,108200,150700,181600,73400,400,512,615,215,598,24.2,24.3,20,0,0,41.71,48.43,55.94,75.53,84.35,1.3,10587.5,17.27,0
474.31,29696,2.47,17.99,81.32,0.24,0.63,12.92,25.84,12.84,17.12,29696,100,22369,73.24,0.39,28.29,35.48,6.25,19.83,28237,11031,11837,7463,26480,6400,3338,3447,11.76,20.22,41.29,7.73,5.85,59.06,37.1,14.75,29.16,17.14,11.9,24.07,14.13,13.12,2.94,68.14,61.63,73.7,70.71,66.28,74.13,852,3.43,146,9.59,35.62,40.41,57.53,0.05,0.18,0.2,0.28,97.3,0.29,3.7,2.62,2.44,2.41,2.49,62.81,3.3,60.79,2,699,94.5,63.52,3.58,38.05,1956,9.1,0.84,34700,46700,66300,31600,150,239,299,149,339,23.2,17.8,12.7,0,1,0.49,79.88,60.95,81.04,92.81,16.3,1826.3,0.37,0
171.06,11312,2.39,2.17,96.3,1.41,0.59,11.41,26.59,12.08,10.73,11312,100,36332,81.52,0.63,53.55,22.74,2.87,16.87,42427,16975,16972,17074,0,17028,18971,582,5.23,6.87,19.9,21.92,2.27,68.05,27.86,18.91,12.17,32.08,10.82,28.64,13.01,11.95,2.96,80.06,78.69,93.22,77.49,62.3,75.6,106,1.23,372,11.56,16.13,27.69,33.6,0.38,0.53,0.91,1.11,96.4,0.11,3.06,2.05,2.35,2.63,1.9,69.13,0.76,47.27,3,334,93.41,61.83,0.6,17.07,1967,1.2,0.08,65600,81800,105000,39400,371,433,495,124,474,21.9,18,11.8,0,0,3.29,64.51,47.42,77.02,86.11,9.5,1185.6,0.7,0
121.81,17753,2.44,2.15,97.31,0.16,0.57,14.18,26.25,12.61,14.72,0,0,19343,69.52,0.3,32.47,36.23,8.66,21.72,23860,10160,10259,6521,4500,2192,7468,3466,19.72,16.46,36.54,7.94,11.23,53.61,24.24,26.52,21.7,18.05,13.08,23.02,16.32,14.85,2.94,67.32,64.52,71.77,72.27,65.42,70.47,274,1.72,75,13.33,13.33,13.33,13.33,0.06,0.06,0.06,0.06,98.01,0.64,3.35,2.39,2.42,2.46,2.35,66.24,1.89,55.29,2,539,93.12,65.29,4.45,49.35,1950,11.41,0.46,18700,27400,40200,21500,153,202,256,103,279,25.8,16,13.7,8,0,0.42,72.03,59.11,89.57,95.15,5.9,2994.8,0.35,0
749.31,10448,2.21,15.19,82.53,1.79,1.22,9.66,27.16,11.09,14.94,10448,100,32237,80.1,0.98,53.71,27.54,2.64,15.5,42431,21799,22581,16784,10670,28290,20217,764,7.31,6.38,14.65,40.8,4.17,66.87,12.06,35.75,6.92,44.29,9.7,35.62,11.97,10.98,2.97,75.47,73.57,89.17,78.09,60.33,66.44,189,2.66,414,21.01,26.33,27.05,32.85,0.83,1.04,1.07,1.3,94.28,0.33,5.2,2.86,2.18,2.54,1.69,67.96,0.8,58.06,2,260,94.79,58.54,5.38,40.38,1941,1.61,0,63100,83200,124600,61500,318,391,443,125,455,23.6,17.7,12,0,0,3.96,65.68,57.57,77.65,88.89,2.4,4434.6,2.4,0
307.42,10815,3.88,0.07,78.36,0.09,90.8,20.79,32.24,16.43,9.61,10815,100,14292,74.85,2.48,13.5,27.55,20.09,6.24,15406,6014,6504,8703,0,0,5605,4159,38.95,46.88,59.32,7.27,13.29,46.86,10.37,27.56,18.54,17.85,3.99,32.07,10.16,7.33,4.11,74.55,67.72,81.48,72.75,52.6,55.71,248,2.15,2821,11.34,21.27,27.76,38.18,2.96,5.55,7.24,9.96,12.76,22.13,19.82,17.56,3.81,3.83,3.77,72.24,26.11,52.56,2,374,88.16,71.91,9.36,23.53,1973,17.24,2.98,23200,34800,47900,24700,105,177,240,135,220,27.3,24.1,13.1,0,0,26.08,64.13,61.13,88.29,91.88,3.8,2846.1,1.47,0
951.3,24124,2.9,10.84,87.86,0.61,2.53,15.47,24.75,11.96,9.45,24124,100,34492,81.69,0.54,43.4,24.04,4.49,16.25,38432,13396,14327,6112,8936,11386,11800,2391,10.08,6.88,19.36,23.65,5.46,60.49,12.53,24.35,7.99,33.68,7.64,25.32,11.61,9.74,3.22,78.86,76.23,87.83,77.38,56.86,66.77,373,2.01,555,9.91,14.77,26.67,32.97,0.23,0.34,0.61,0.76,95.33,0.21,4.67,3.76,2.85,2.88,2.75,76.12,2.14,21.39,3,765,91.58,75.22,8.24,50.85,1971,2.79,0.13,53400,67800,85400,32000,272,353,438,166,463,25.6,19.1,12,0,0,2.3,56.27,58.36,77.25,87.77,9.7,2491.1,0.67,0
