id,geschlecht,alter,groesse,gewicht,einkommen,bildung,konfession,kinder,glueck,fitness,essen,alkohol,tattoos,rhein,datause,arztbesuche,wandern,fasnacht,sehhilfe
1,f,87,165,NA,NA,obligatorisch,katholisch,1,7,7,NA,16,6,5,127,3,72,nein,ja
2,m,54,174.8,85.6,7500,sek III,konfessionslos,2,9,3,950,23,0,4,83,2,64,nein,ja
3,f,34,147.4,53.9,5500,sek III,konfessionslos,1,3,6,410,25,1,2,80,7,51,nein,ja
4,m,31,165.5,105,NA,lehre,katholisch,1,8,8,NA,31,0,6,69,4,107,nein,ja
5,m,24,180.5,101.6,3800,obligatorisch,katholisch,2,9,4,770,16,4,3,70,3,48,nein,ja
6,m,59,170.5,86.7,NA,sek III,NA,3,8,4,NA,31,0,2,61,3,94,nein,nein
7,f,48,144.6,74.8,5000,obligatorisch,konfessionslos,2,4,9,620,18,0,5,52,7,54,nein,nein
8,f,53,176.2,72.4,8100,lehre,katholisch,1,3,2,1000,29,0,7,103,3,42,nein,ja
9,m,50,168.3,80.7,7600,sek III,konfessionslos,3,6,5,790,28,0,2,112,2,17,nein,nein
10,f,62,170.4,52.8,10100,lehre,andere,1,3,7,1380,0,0,4,82,3,90,nein,ja
11,m,73,167.3,93.8,12200,sek III,konfessionslos,3,6,6,1050,23,1,4,90,2,26,nein,ja
12,f,53,163.1,67.6,6800,lehre,konfessionslos,1,5,4,740,31,0,6,121,5,68,nein,ja
13,m,38,182.8,70.4,7600,lehre,NA,3,8,5,910,43,0,5,58,2,51,nein,ja
14,f,26,160.2,NA,4300,obligatorisch,katholisch,1,4,4,310,32,9,3,85,7,34,nein,ja
15,f,53,162.7,76.3,7800,obligatorisch,konfessionslos,2,6,6,1110,26,5,7,83,7,48,nein,ja
16,m,19,177,77.4,3800,obligatorisch,evangelisch-reformiert,1,6,5,460,0,0,6,133,5,60,nein,nein
17,m,59,195.5,65.7,10000,sek III,konfessionslos,1,10,3,640,57,0,6,94,2,84,nein,ja
18,m,39,178.9,76.9,5500,lehre,katholisch,2,9,4,1140,0,0,4,57,2,58,nein,ja
19,f,44,173.2,61.5,8100,lehre,konfessionslos,2,7,5,850,22,4,4,81,6,53,nein,nein
20,f,34,160,66.3,5400,lehre,katholisch,0,9,10,890,28,0,5,119,4,55,nein,ja
21,m,73,194.4,68,14200,sek III,konfessionslos,3,3,3,1290,40,0,6,56,3,67,nein,nein
22,f,57,178,66.4,12700,sek III,katholisch,1,7,5,1440,21,2,3,114,7,46,nein,ja
23,f,57,154.9,42.2,9400,sek II,katholisch,3,7,7,1050,19,9,7,49,3,61,nein,nein
24,m,39,182.7,98.9,NA,lehre,konfessionslos,2,3,2,NA,65,0,0,81,4,17,nein,ja
25,m,39,155.8,NA,7900,lehre,katholisch,0,1,8,490,0,0,3,98,1,64,nein,ja
26,m,39,172.8,91.4,NA,sek III,konfessionslos,1,6,5,NA,35,0,3,78,3,73,nein,nein
27,m,24,180.4,96.2,6400,sek III,konfessionslos,1,6,7,520,0,0,7,101,4,81,nein,ja
28,f,73,163.8,49.1,11800,lehre,konfessionslos,2,9,2,1390,18,4,2,117,3,46,nein,ja
29,f,40,161.2,76.8,9600,sek II,konfessionslos,1,7,7,900,0,3,2,101,6,61,nein,nein
30,m,36,181.3,NA,6500,sek II,evangelisch-reformiert,2,6,3,470,49,6,5,80,3,84,nein,ja
31,f,73,177.7,59.1,12600,sek III,NA,3,4,3,1400,9,2,9,101,4,88,nein,ja
32,m,39,184.1,69,6400,lehre,konfessionslos,3,8,4,520,39,4,5,85,5,78,ja,nein
33,f,60,165.5,NA,10100,lehre,NA,4,6,9,910,32,0,8,60,4,52,nein,ja
34,f,43,161.8,NA,6700,lehre,katholisch,3,6,5,810,26,0,0,104,9,54,nein,nein
35,m,39,181.3,80.5,5100,sek III,konfessionslos,1,8,4,-10,68,0,5,98,1,42,nein,nein
36,f,65,151.4,62.5,9700,sek III,andere,1,9,2,1290,5,11,8,73,3,66,nein,ja
37,m,73,172.7,80.1,12400,lehre,katholisch,2,8,5,1300,57,0,4,107,2,55,nein,ja
38,f,33,159.7,75,6600,obligatorisch,katholisch,2,4,4,780,18,0,2,62,6,46,nein,nein
39,f,73,167.9,60.8,NA,lehre,evangelisch-reformiert,1,6,8,NA,0,2,5,69,3,73,nein,ja
40,f,47,155.2,61.5,NA,obligatorisch,katholisch,3,6,5,NA,19,6,5,88,5,73,nein,nein
41,m,46,174.1,95.6,9400,obligatorisch,evangelisch-reformiert,1,6,5,1300,47,6,3,86,1,75,ja,nein
42,m,44,173,96.4,NA,sek III,katholisch,1,6,3,NA,54,0,4,86,3,53,nein,ja
43,m,57,161.5,84.1,9200,lehre,katholisch,1,4,3,500,60,0,1,104,3,17,nein,ja
44,m,50,171.6,88.9,7900,obligatorisch,evangelisch-reformiert,1,10,6,1250,35,10,5,82,3,80,nein,ja
45,f,73,158,73.4,NA,sek III,konfessionslos,3,3,7,NA,0,0,4,102,4,92,nein,ja
46,f,53,168.3,80.7,NA,sek III,evangelisch-reformiert,4,9,3,NA,0,5,1,77,4,50,nein,ja
47,f,86,154.2,NA,NA,sek II,katholisch,0,4,7,NA,29,0,4,128,5,50,nein,ja
48,f,27,166.4,45.8,4100,sek III,evangelisch-reformiert,3,8,5,790,0,8,8,100,2,70,nein,ja
49,m,25,182,NA,5100,lehre,konfessionslos,1,7,6,460,18,0,4,61,2,67,nein,ja
50,m,73,189.2,91.5,11400,lehre,konfessionslos,1,5,6,1220,24,0,6,74,1,36,nein,ja
51,f,78,168.8,51,12000,lehre,NA,2,10,9,1590,21,1,5,96,6,77,nein,ja
52,f,53,166.8,65.2,9100,sek III,konfessionslos,1,7,3,1360,20,1,5,95,5,51,nein,ja
53,m,25,180.8,62.3,6600,lehre,evangelisch-reformiert,1,4,6,610,42,0,4,104,3,95,nein,nein
54,m,90,187.9,64.2,NA,sek III,NA,1,5,4,NA,49,0,2,61,0,72,nein,nein
55,m,23,183.9,83.3,4100,lehre,konfessionslos,0,6,2,-70,56,0,4,78,2,93,nein,nein
56,f,48,164.8,59.5,7700,sek III,muslimisch,1,4,5,450,29,1,3,102,6,102,nein,nein
57,m,37,167.3,77.1,7400,obligatorisch,konfessionslos,4,1,5,420,48,0,3,90,4,58,nein,nein
58,m,32,189.2,96.8,7800,sek III,NA,1,6,8,1270,0,6,2,92,4,41,nein,nein
59,m,65,187.6,75.5,11800,lehre,evangelisch-reformiert,1,5,7,520,79,0,5,70,4,105,nein,ja
60,m,73,173.5,87.3,11100,obligatorisch,konfessionslos,1,7,5,1190,35,3,1,123,1,48,nein,nein
61,f,30,177.6,73,4900,sek II,evangelisch-reformiert,1,5,5,930,0,1,2,89,7,35,nein,ja
62,f,55,162.7,74.2,9800,lehre,andere,2,6,2,1110,35,5,0,90,6,85,nein,ja
63,f,58,149,69.4,10900,sek II,katholisch,2,4,6,1270,0,0,8,95,3,41,nein,ja
