college_name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F_Undergrad,P_Undergrad,Outstate,Room_Board,Books,Personal,PhD,Terminal,S_F_Ratio,perc_alumni,Expend,Grad_Rate
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65
Baldwin-Wallace College,Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85
Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79
Barnard College,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91
Baylor University,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72
Belmont University,Yes,1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49
Bemidji State University,No,1208,877,546,12,36,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46
Benedictine College,Yes,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58
Berry College,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63
Bethany College,Yes,878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48
Bethel College KS,Yes,202,184,122,19,42,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56
Birmingham-Southern College,Yes,805,588,287,67,88,1376,207,11660,4325,400,900,74,79,14,34,8649,72
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,15,55,5847,946,7844,2948,500,1680,66,68,18,19,7041,75
Bluffton College,Yes,692,514,209,20,50,760,81,9900,3990,400,900,76,71,13.3,19,9073,58
Bradley University,Yes,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85
Brandeis University,Yes,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84
Brenau University,Yes,367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49
Brewton-Parker College,Yes,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18
Briar Cliff College,Yes,392,351,155,16,44,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58
Cabrini College,Yes,599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71
Caldwell College,Yes,1011,604,213,17,42,693,868,8900,4600,425,1000,87,96,13.9,25,7922,55
California Polytechnic-San Luis,No,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59
California State University at Fresno,No,4540,3294,1483,5,60,13494,1254,7706,4368,600,1926,90,90,21.2,8,7268,61
Calvin College,Yes,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81
Campbellsville College,Yes,848,587,298,25,55,935,184,6060,3070,600,1300,62,66,17.7,13,5391,49
Canisius College,Yes,2853,2193,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64
Capital University,Yes,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83
Capitol College,Yes,100,90,35,10,52,282,331,8400,2812,300,2134,10,50,12.1,24,7976,52
Carleton College,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91
Carroll College,Yes,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79
Carson-Newman College,Yes,1096,951,464,27,62,1776,239,8150,3150,400,500,61,62,13.6,16,6716,67
Carthage College,Yes,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62
Castleton State College,No,1257,940,363,9,22,1547,294,7656,4690,400,700,89,91,14.7,8,6318,79
Catawba College,Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55
Cazenovia College,Yes,3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118
Cedar Crest College,Yes,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74
Cedarville College,Yes,1307,1090,616,25,55,2196,82,7344,4410,570,1000,50,52,15.3,34,6897,64
Centenary College,Yes,369,312,90,12,46,396,526,11400,5400,500,760,41,85,9.5,20,9583,24
Centenary College of Louisiana,Yes,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66
Central College,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67
Central Washington University,No,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51
Central Wesleyan College,Yes,174,146,88,8,29,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58
Centre College,Yes,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74
Chapman University,Yes,959,771,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47
Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63
Claremont McKenna College,Yes,1860,767,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87
