gender,year_created,hour_created,tweet_count,retweet_count,user_timezone,name_nchar,name_male,name_female,descr_nchar,descr_male,descr_female,descr_sent,tweet_nchar,tweet_male,tweet_female,tweet_sent,linkcol_red,linkcol_green,linkcol_blue,sidecol_red,sidecol_green,sidecol_blue
female,2011,23,35328,0,-5,9,0,0,20,0,0,3,50,1,1,0,250,5,152,94,212,220
male,2013,13,8127,0,-5,9,1,0,119,0,0,0,62,0,0,2,0,0,0,192,222,237
female,2012,9,4398,0,1,13,0,0,123,1,0,2.5,81,0,0,3,0,0,0,192,222,237
male,2009,10,13503,0,-6,8,0,0,54,0,0,0,138,0,0,-0.6,48,117,192,245,23,20
male,2008,18,6197,0,-6,11,0,0,46,0,0,0,138,1,1,0.5,208,43,85,130,157,94
female,2014,3,205,0,0,14,0,0,107,1,0,0,113,0,0,1,0,0,0,192,222,237
female,2011,18,110594,0,-5,12,0,0,144,0,0,2,137,0,0,-2,137,201,250,255,255,255
female,2011,19,46634,0,-5,8,0,0,19,0,0,0,123,0,0,4,245,171,181,0,0,0
female,2014,2,6212,0,-5,15,0,0,80,0,0,0,139,0,0,0,0,0,0,255,255,255
male,2013,2,39918,0,0,15,1,1,137,1,1,-2,47,0,0,0,45,53,204,255,255,255
male,2008,17,20037,0,-5,12,0,0,91,1,0,3,30,1,0,-4,0,0,0,192,222,237
female,2011,12,4773,0,-6,11,1,1,99,1,0,2,98,0,0,0,137,201,250,0,0,0
male,2012,15,21262,0,-4,9,1,0,31,0,0,0,112,0,0,2,0,0,0,192,222,237
female,2011,14,12459,0,-6,9,0,1,20,1,0,0,48,1,0,2.6666666666666665,0,0,0,0,0,0
male,2012,12,6690,0,-5,11,1,1,32,0,0,0,140,1,1,0,0,0,0,192,222,237
male,2010,13,26563,0,-8,15,0,0,127,0,0,0,128,0,0,2.6666666666666665,74,145,60,0,0,0
male,2010,13,9005,0,0,7,0,0,158,0,0,2,132,1,0,1.75,147,166,68,238,238,238
male,2009,14,194523,0,-6,12,0,0,103,1,0,0,134,0,0,1.5,0,0,0,192,222,237
female,2011,15,4043,0,-4,13,0,0,43,0,1,0,136,0,0,-0.75,245,171,181,192,222,237
male,2011,11,33542,0,-8,9,0,0,48,0,0,0,64,0,0,0,74,145,60,255,255,255
female,2011,17,84215,0,-5,15,0,0,81,1,1,3,100,1,1,3,0,0,0,255,255,255
female,2009,3,15850,0,1,13,0,0,18,0,0,2,93,0,0,-2,245,171,182,0,0,0
male,2013,14,5873,0,-8,12,0,0,114,0,1,0.5,80,1,0,-1,250,116,62,0,0,0
male,2014,12,8311,0,-6,8,0,0,47,0,0,0,82,1,0,3,171,184,194,0,0,0
female,2011,11,14784,0,-5,11,0,0,31,0,0,0,79,0,0,3,179,0,107,0,0,0
female,2011,15,69065,0,-5,9,0,0,22,0,0,-2,35,1,0,1,0,0,0,255,255,255
female,2013,15,12731,0,-6,10,0,0,55,0,0,-1,235,0,1,-1,148,212,135,255,255,255
male,2011,8,22753,1,-7,15,1,1,74,1,0,3,55,0,0,0,153,153,0,238,238,238
female,2011,14,845,0,-8,13,0,0,66,1,1,1,43,0,0,0,146,102,204,0,0,0
female,2012,13,46826,0,1,15,0,0,125,0,0,0,136,0,0,1.5,207,4,4,0,0,0
male,2012,13,14471,0,-4,7,0,0,27,0,0,0,51,0,0,0,147,166,68,238,238,238
male,2013,18,869,0,1,9,0,0,33,1,0,0.5,60,0,0,0,250,116,62,0,0,0
female,2015,16,15625,0,-8,6,0,0,95,0,0,0,73,0,0,0,171,184,194,0,0,0
male,2011,15,85532,0,1,10,0,0,113,0,0,0,94,0,0,1.5,84,73,62,122,92,69
female,2014,12,5074,0,-4,15,0,0,34,0,0,0,60,0,0,0,173,147,69,192,222,237
male,2011,19,25672,0,-8,9,0,0,103,0,1,0,58,0,0,0,0,0,0,192,222,237
male,2013,18,46633,0,-8,13,0,0,126,0,0,0,64,0,0,1,245,171,181,0,0,0
female,2012,21,9077,0,-7,9,0,0,20,1,0,0,106,0,0,-1,0,0,0,192,222,237
male,2011,10,16503,0,-5,10,1,1,160,0,0,0,138,0,0,0,0,0,0,255,255,255
male,2011,18,16010,0,-5,12,1,1,35,0,0,0,55,0,0,0,60,58,71,0,0,0
female,2013,19,1090,0,-8,10,1,0,45,0,0,0,60,0,0,-1,180,11,67,204,51,102
male,2009,5,59550,0,9,14,1,1,92,0,1,0,56,0,0,3,0,0,0,192,222,237
male,2011,12,6027,0,-5,7,0,0,10,0,0,0,120,0,1,0.5,0,0,0,255,255,255
female,2015,10,28,0,-8,15,0,0,116,1,1,0,132,1,1,0,137,201,250,0,0,0
male,2010,6,7005,0,1,15,1,0,69,0,1,0,129,0,0,-3,0,0,0,192,222,237
female,2013,4,67793,0,6,11,0,0,101,0,0,3,138,0,0,-2,59,148,217,248,84,95
male,2011,22,27613,0,1,9,0,0,150,1,0,0,109,0,0,-1,0,0,0,238,238,238
male,2010,5,126688,0,2,12,0,0,92,1,0,1,108,0,1,2,74,145,60,255,255,255
male,2013,18,356332,0,-8,10,0,0,43,0,0,0,91,1,1,0,0,0,0,255,255,255
female,2013,3,77158,0,1,13,0,0,38,0,0,0,117,0,0,-0.6666666666666666,181,170,224,255,255,255
male,2012,16,14344,0,-6,12,1,0,13,0,0,0,39,0,0,3,153,153,0,255,255,255
male,2009,16,56484,0,-8,9,0,0,23,0,0,2,123,1,0,1,153,0,0,223,223,223
female,2009,10,9076,0,-8,9,0,0,43,0,0,0,75,0,0,0,31,152,199,198,226,238
male,2013,20,1616,0,-8,13,1,0,131,0,0,1,137,0,1,-3,0,0,0,192,222,237
male,2009,5,16798,0,0,7,0,0,96,0,0,-2.5,75,0,0,0,48,28,48,255,255,255
female,2009,14,27086,0,-8,8,0,0,29,0,0,3,56,0,0,-4,235,29,104,0,0,0
male,2010,14,10853,0,-6,13,1,1,18,0,0,0,53,0,0,-0.5,47,194,239,0,0,0
female,2013,11,5335,0,-6,9,0,0,27,0,0,0,104,0,0,2,221,46,68,0,0,0
male,2009,8,8278,0,12,7,0,0,156,0,1,2,130,1,0,2.75,0,0,0,189,220,173
female,2012,11,19049,0,0,7,0,0,17,0,0,0,116,0,0,1,245,171,181,0,0,0
male,2010,5,17651,0,0,7,0,0,81,0,1,0,139,1,1,1,150,209,150,211,210,207
male,2013,14,21786,0,1,9,0,0,160,1,1,0,137,0,1,0,221,46,68,0,0,0
female,2011,18,63519,0,-8,9,0,0,41,0,0,0,103,0,0,1,0,0,0,255,248,173
male,2011,23,50052,0,-5,14,0,0,55,0,1,0.5,41,0,0,-0.5,204,10,27,106,110,117
female,2014,14,8839,0,-5,14,0,0,119,0,0,2,92,0,0,2,255,5,5,255,255,255
male,2011,21,49094,0,0,6,0,0,159,1,1,-1,92,1,0,0,59,148,217,0,0,0
male,2011,16,5884,0,-7,11,0,0,91,1,0,1,135,1,0,1,0,0,0,168,199,247
female,2011,13,16388,0,-5,14,0,0,74,1,0,0,140,0,0,-0.6666666666666666,245,171,181,255,255,255
female,2009,5,1136,0,1,11,0,0,146,1,0,-3,139,1,1,2.5,0,0,0,192,222,237
male,2009,12,77436,0,1,8,0,0,28,1,0,0,118,0,0,2.3333333333333335,47,194,239,0,0,0
male,2012,11,20854,0,-8,11,0,0,126,0,0,0,107,0,0,1,0,0,0,0,0,0
female,2012,7,53583,0,1,6,0,0,47,1,1,2,119,0,0,-1,153,153,0,238,238,238
male,2009,15,4910,0,-7,13,0,0,59,0,0,2,125,0,0,1.3333333333333333,251,132,14,55,55,55
male,2010,19,22199,0,-5,15,0,0,58,1,1,0,115,0,0,0,0,0,0,255,255,255
male,2008,18,14042,0,-6,9,0,0,65,1,1,0,127,1,0,3,47,194,239,0,0,0
female,2009,9,20316,0,-5,12,0,0,40,0,0,0,91,1,1,1.5,199,76,135,134,164,166
female,2009,10,62348,0,-3,11,0,0,47,0,0,0,97,0,0,0,51,153,153,255,255,255
male,2011,11,1738,0,1,14,1,0,39,0,0,3,47,0,0,3,0,0,0,192,222,237
male,2015,13,1159,0,-8,10,0,0,21,0,0,-1,74,1,0,3,0,0,0,0,0,0
female,2009,19,24991,0,-6,15,1,1,136,0,0,2,129,0,0,0,94,44,125,255,166,166
female,2010,14,14724,0,-5,10,0,0,38,0,0,0,40,0,0,4,0,0,0,223,223,223
female,2011,7,1378,0,1,14,0,0,129,0,0,2,118,0,0,2,170,170,170,255,255,255
male,2010,12,5220,0,-5,13,0,0,53,0,0,1,51,1,0,0,0,0,0,192,222,237
male,2010,9,5976,0,-5,11,0,0,6,0,0,0,127,0,0,-2.6666666666666665,0,0,0,255,255,255
female,2009,10,1932,0,-5,7,0,0,40,0,0,1,40,0,1,0,153,0,0,255,255,255
male,2011,20,49958,0,-5,15,1,0,159,0,0,-2,138,1,0,0,0,0,0,192,222,237
male,2010,9,19716,0,0,7,0,0,154,0,0,1.5,122,0,0,1,204,0,0,0,0,0
female,2011,0,31891,0,-6,11,0,0,108,0,0,-0.75,74,0,0,0,224,185,27,255,255,255
male,2009,7,24049,0,0,11,1,0,25,1,0,0,134,1,0,2.5,221,46,68,255,255,255
female,2012,22,2351,0,0,7,0,0,53,0,0,0,98,0,0,2,255,184,245,255,255,255
male,2013,20,1767,0,-8,10,1,0,129,1,0,-1,137,0,1,-3,59,148,217,0,0,0
female,2009,13,7731,0,-5,10,0,0,7,0,0,0,106,0,0,2,204,51,102,219,233,237
male,2009,14,5172,0,-5,12,0,0,74,0,1,-2,110,1,1,0,121,173,207,255,255,255
male,2014,14,12168,0,-7,10,0,0,46,0,0,0,102,0,0,-1.3333333333333333,171,184,194,0,0,0
female,2011,22,7271,0,-5,11,1,1,109,0,0,0,50,0,0,0,184,157,181,255,248,173
female,2012,22,1417,0,2,15,0,0,156,0,0,-0.6666666666666666,132,1,0,2,180,11,67,0,0,0
female,2014,21,868,0,-5,10,0,0,158,1,0,0,108,0,0,2,171,184,194,0,0,0
male,2009,12,23152,0,-5,8,0,0,120,0,0,2,120,0,0,-1,180,0,22,189,220,173
male,2009,23,19001,0,-3,9,0,0,88,1,0,0,140,0,0,-3,0,0,0,192,222,237
male,2013,17,6311,0,-8,9,0,0,35,1,0,0,137,0,0,-0.5,137,201,250,0,0,0
male,2010,18,97358,0,-5,8,0,0,18,1,0,0,131,0,0,0.6666666666666666,0,0,0,255,255,255
female,2012,10,2415,0,-5,15,0,0,8,0,0,3,54,0,0,0,146,102,204,0,0,0
male,2014,6,2202,0,-8,12,0,0,10,0,0,0,78,0,0,0,0,0,0,192,222,237
male,2010,10,7236,0,-7,12,0,1,37,0,0,-2.5,85,0,0,2.6666666666666665,171,184,194,0,0,0
male,2011,14,21039,0,-5,8,0,0,68,0,0,1,107,0,0,1,153,153,0,238,238,238
male,2014,5,34187,0,0,13,1,0,107,0,0,1,128,1,1,-2,221,46,68,0,0,0
female,2012,11,29798,0,1,11,0,0,94,1,0,3,126,0,0,1,176,176,176,0,0,0
female,2010,13,12972,0,-6,14,0,0,2,0,0,0,85,0,0,0,0,0,0,192,222,237
male,2009,7,17818,0,0,14,0,0,136,0,1,2.5,116,0,0,0,0,0,0,255,255,255
male,2009,18,2237,0,-5,12,0,0,98,0,0,3,43,0,0,0,0,0,0,192,222,237
female,2012,13,10732,0,-6,15,0,0,39,0,0,-2,125,0,0,-3,221,46,68,192,222,237
male,2009,4,64841,0,0,12,0,0,139,0,0,0,115,0,0,2,0,0,0,192,222,237
male,2013,16,518,0,-4,9,0,0,38,0,0,0,138,1,0,-2,31,152,199,0,0,0
male,2013,23,6645,0,-8,13,0,0,146,1,0,0,131,0,0,-1,171,184,194,255,255,255
female,2012,16,37835,0,-3,5,0,0,26,0,0,0,117,0,0,-1,59,148,217,255,255,255
male,2009,6,33328,0,-6,9,1,0,159,0,0,3,58,0,0,2.5,84,73,62,122,92,69
female,2011,9,18089,0,-5,10,0,0,84,1,0,0,140,0,0,2,0,0,0,192,222,237
male,2015,22,14301,0,-8,9,0,0,30,0,0,3,93,0,0,2,0,0,0,192,222,237
male,2011,17,112117,1,-5,11,1,0,84,0,0,0,129,0,0,-1.25,38,50,179,0,0,0
female,2010,4,10966,0,1,11,0,0,2,0,0,0,77,0,0,0,47,194,239,0,0,0
male,2013,14,5056,0,-4,10,1,0,22,0,0,2,91,0,0,-0.5,74,145,60,0,0,0
male,2012,19,26825,0,-8,10,0,0,33,0,0,2,128,0,0,-1,153,153,0,238,238,238
female,2009,4,11887,0,1,8,0,0,101,0,1,3.5,86,1,1,0,255,0,0,101,176,218
male,2009,5,59009,0,-5,11,1,0,66,0,0,0,84,1,0,0,245,10,49,0,0,0
female,2014,8,14902,0,1,11,0,0,43,0,0,0,93,0,1,0,87,182,200,255,255,255
male,2014,21,2866,0,7,13,1,0,55,0,0,0,32,0,0,1,0,0,0,0,0,0
female,2010,16,36364,0,-8,11,0,0,13,0,0,0,41,0,0,2,0,0,0,0,0,0
male,2011,3,20719,0,2,12,0,0,47,1,0,0,118,0,0,2.6666666666666665,232,25,129,0,0,0
male,2013,13,25917,0,-8,13,0,0,38,0,0,0,140,0,0,2,146,102,204,0,0,0
male,2011,10,68272,0,3,6,0,0,35,0,0,0,128,0,0,3,0,0,0,192,222,237
female,2012,4,2213,0,2,10,0,0,159,0,0,2,137,0,0,1.5,77,147,184,255,255,255
female,2011,11,4612,0,1,10,0,1,19,0,0,-3,103,1,1,0,49,232,33,255,255,255
female,2009,16,72073,0,-5,10,0,0,153,0,1,0.5,113,0,0,0,59,148,217,0,0,0
female,2015,14,18336,0,-8,13,0,1,116,0,1,0,129,0,0,0,146,102,204,0,0,0
female,2011,16,113942,0,-6,7,0,0,18,0,0,-4,103,0,0,-1,240,9,148,255,255,255
male,2009,16,48109,0,-8,7,0,0,114,0,0,0,125,0,0,0,0,0,0,255,255,255
female,2014,11,79641,0,-8,13,0,0,27,0,0,3,137,1,0,2.3333333333333335,221,46,68,0,0,0
male,2012,18,569,0,-5,9,0,0,127,1,1,2,97,1,0,2,0,0,0,255,255,255
male,2014,17,639925,0,2,9,0,0,58,0,0,0,96,0,0,-2,38,50,54,0,0,0
