nonViolPerPop,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
4272.31,22902,2.72,4.62,93.26,0.84,1.81,13.85,26.44,12.6,12.96,0,0,29088,73.08,0.56,41.94,29.24,13.49,17.67,35364,13146,13323,12601,4532,11086,6141,3443,15.39,12.86,30.11,14.23,7.38,53.96,25.38,23.21,20.83,22.35,9.87,28.67,12.43,11.28,3.18,69.43,67.56,67.65,75.44,51.06,60.79,860,4.38,554,25.81,30.87,35.74,37.73,0.62,0.75,0.86,0.91,94.74,0.85,4.91,3.5,2.62,2.76,2.4,63.65,2.1,42.99,3,410,95.36,60.39,3.41,35.61,1947,4.08,0.1,49200,65100,84400,35200,259,347,427,168,412,28.8,15.6,14.3,14,0,2.42,70.33,58.47,87.55,92.57,9.3,2458.4,0.5,0
1243.34,33823,2.66,1.04,98.08,0.77,0.49,11.26,21.33,9.85,12.53,33823,100,41149,79.82,0.31,62.67,28.84,1.75,20.65,46719,17603,17657,10792,3968,22737,10268,1278,3.81,3.29,10.34,33.23,3.78,62.96,12.59,26.71,6.75,37.31,5.2,23.88,7.38,6.35,3.08,88.95,88.08,95.86,87.82,52.19,61.13,139,0.55,794,4.79,5.67,6.55,13.1,0.11,0.13,0.15,0.31,94.81,0.33,3.26,2.54,2.65,2.85,1.8,86.95,0.42,25.61,3,305,97.65,80.78,0.98,42.95,1963,0.41,0.18,64700,82200,106100,41400,377,458,536,159,509,25.3,20.1,12.9,0,0,2.35,79.85,67.85,89.19,92.68,12.1,2793.2,11.79,0
5430.83,11215,2.85,1.84,79.72,1.52,26.25,11.46,25.06,10.42,9.19,10627,93.37,39572,78.32,1.15,38.58,20.36,6.2,13.2,43596,19678,22551,6181,6565,11260,8066,730,6.46,6.71,18.58,21.07,6.12,65.24,7.41,20.57,8.08,27.92,10.53,24.72,14.96,12.74,3.21,76.16,71.86,87.38,83.99,49.1,64.54,139,1.86,1324,13.97,21.22,23.64,27.27,1.65,2.51,2.79,3.22,77.31,4.72,8.5,6.49,2.85,2.65,3.38,66.9,8.09,31.99,3,2495,61.17,72.04,0.28,24.13,1985,1.42,0.31,89800,117400,194500,104700,536,640,726,190,779,30.6,25.5,13.2,0,0,11.63,46.66,30.42,65.27,84.82,25.2,444.3,0.86,0
7356.84,56216,3.07,6.87,61.68,15.23,29.86,15.46,30.16,14.34,8.08,56216,100,24727,75.05,1.12,31.42,21.45,19.98,14.41,27388,10237,13041,8344,8590,3399,6644,13804,25.06,17.12,30.87,15.79,9.99,55.53,13.47,27.18,16.38,25.02,10.22,31.91,16.28,13.34,3.56,67.04,64.81,76.19,72.78,47.24,55.38,1960,4.49,10623,22.97,35.12,42.1,60.31,4.34,6.64,7.96,11.4,65.33,11.87,13.49,9.91,3.03,2.83,3.19,41.69,16.89,57.23,2,683,96.4,44.63,1.46,13.18,1973,4.91,0.55,71200,91100,118900,47700,298,374,455,157,438,29.8,22.6,11.7,64,0,18.9,52.67,39.19,74.58,85.88,16.7,3365.4,0.59,0
6471.57,28540,2.66,16.84,72.98,2.15,12.12,20.53,38.5,24.13,11.11,28540,100,26336,76.18,0,37.57,27.94,10.26,14.94,31274,12971,14424,9845,8587,9575,8020,3702,15.15,11.19,24.65,17.95,7.97,62.63,17.99,30.39,12.31,21.42,10.97,47.87,15.27,13.11,3,56.98,52.05,63.92,56.52,60.88,66.26,1234,7.02,1889,15.93,24.78,30.17,36.21,1.05,1.64,2,2.4,80.65,2.6,5.28,2.99,2.29,2.41,2.22,38.86,4.5,62.46,2,1258,89.49,36.91,5.01,28.7,1939,6.34,0.53,105500,131600,162900,57400,319,455,549,230,526,27.7,27.2,14.6,30,1,6.62,45.15,41.52,68.42,73.59,5.7,4972.5,2.88,0
2778.4,34997,2.79,3.54,94.3,1.57,1.73,13.23,26.68,12,10.25,34931,100,40287,84.99,0.41,45.37,25.23,4.29,19.82,44123,15443,15468,15494,24977,14830,13754,1489,4.28,4.57,17.56,14.36,4.5,69.02,21.19,21.07,15.16,21.65,8.13,27.81,10.91,9.56,3.2,80.47,78.03,91.3,80.65,63.84,72.55,414,1.6,1181,10.25,17.95,22.86,27.27,0.35,0.61,0.77,0.92,94.79,0.69,4.94,3.82,2.79,2.96,2.21,81.76,1.68,38.34,3,761,94.28,76.99,1.71,37.71,1959,0.68,0.17,92800,110900,133300,40500,486,572,629,143,630,24.9,22.3,13.3,0,0,3.38,61.73,60.86,83.82,87.59,23.1,1516.5,2.85,0
3873.63,25325,2.63,20.21,75.39,2.39,7.55,11.39,24.54,11.1,14.22,25325,100,40776,80,0.51,47.67,31.55,3.31,19.74,46962,17383,18416,14004,12464,16683,12681,1615,6.42,8.59,22.83,17.78,5.36,64.77,22.44,20.91,13.59,24.38,8.16,31.35,10.85,9.58,3.14,75.06,69.94,85.84,67.11,59.27,68.31,548,3.2,2694,15.33,20.68,28.99,37.23,1.63,2.2,3.08,3.96,83.77,2.29,5.14,3.7,2.62,2.83,2.21,71.04,3.13,44.96,3,366,96.34,65.72,5.74,40.44,1952,1.82,0.18,127400,151100,173000,45600,450,558,646,196,611,25.6,24.6,17,0,3,10.64,66,64.92,83.55,93.49,4.1,6127.2,7.62,0
3878.89,10023,2.87,6.52,85.19,2.43,19.37,15.44,28.6,12.67,4.12,10023,100,35856,91.18,1.11,45.29,11.14,1.87,24.69,38347,13246,13676,12580,18976,10703,8629,580,5.79,3.65,7.89,21.17,4.38,72.96,6.27,22.56,7.68,30.2,9.5,23.02,13.32,11.48,3.21,81.27,79.7,87.84,84.06,69.92,75.98,52,0.77,572,11.36,12.41,18.36,27.8,0.65,0.71,1.05,1.59,84.04,1.17,3.93,3.17,2.87,2.95,2.71,67.41,3.17,21.41,3,174,95.26,65.6,0,47.7,1977,1.23,0,53300,63600,74800,21500,314,401,473,159,485,21.5,20.5,16.9,0,0,5.71,47.54,50.28,75.55,84.89,4.9,2064,0.29,0
2712.74,13476,3.89,0.08,98.09,0.45,2.45,20.33,29.74,13.1,6.5,13537,100,31633,83.98,1.93,38.18,23.58,6.51,16.96,33097,8852,8867,0,8681,10525,7767,1142,8.47,1.52,13.93,20.49,5.59,63.71,20.06,28.78,17.25,25.61,5.62,25.94,7.08,6.36,4.23,88.55,87.66,94.05,87.98,53.8,63.88,66,0.56,187,19.25,27.81,31.02,39.04,0.27,0.39,0.43,0.54,95.41,0.65,25.59,22.31,3.88,4,3.39,81.8,7.3,25.53,3,84,97.63,79.16,10.71,48.81,1971,3.32,0.53,53200,66400,84000,30800,241,289,377,136,382,24.2,22.6,11.9,0,0,1.38,77.97,60.12,86.38,92,7.1,1897,1.66,0
5445.74,30085,2.76,2.21,74.29,3.63,37.22,12.15,27.34,12.45,12.91,30085,100,30908,71.71,1.02,31.99,29.38,8.31,15.27,34579,13331,15152,8912,16419,11567,6974,4046,13.56,14.2,30.39,12.98,6.24,61.74,5.3,15.86,10.05,18.78,11.2,32.12,15.2,13.18,3.32,74.13,67.86,77.45,72.4,58.92,63.07,1109,4.96,7483,14.01,27.38,36.92,49.77,3.48,6.81,9.18,12.38,63.41,10.39,11.94,7.89,2.75,2.6,3,58.37,13.47,58.81,2,4311,71.69,61.78,0.6,14.03,1981,3.15,0.4,86000,113200,143400,57400,398,566,659,261,649,30.7,27.7,12.1,0,2,24.87,37.62,34.82,65.96,84.11,19.6,1535.3,2.92,0
