AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,NewLeague
215,51,4,19,18,11,1,215,51,4,19,18,11,A,E,116,5,12,70,A
458,114,13,67,57,48,4,1350,298,28,160,123,122,A,W,246,389,18,475,A
586,159,12,72,79,53,9,3082,880,83,363,477,295,N,E,181,13,4,1043.333,N
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,N,W,105,290,10,775,N
399,102,3,56,34,34,5,670,167,4,89,48,54,A,W,211,9,3,80,A
579,174,7,67,78,58,6,3053,880,32,366,337,218,N,E,280,479,5,657,N
496,119,8,57,33,21,7,3358,882,36,365,280,165,N,W,155,371,29,875,N
510,126,2,42,44,35,11,5562,1578,44,703,519,256,N,W,207,358,20,737.5,N
551,171,13,94,83,94,13,6090,1840,128,969,900,917,N,E,1199,149,5,1800,N
313,78,6,32,41,12,12,3742,968,35,409,321,170,N,W,106,206,7,416.667,N
584,157,20,95,73,63,10,4704,1320,93,724,522,576,A,E,276,421,11,420,A
461,112,18,54,54,35,2,680,160,24,76,75,49,A,W,111,226,11,135,A
317,78,7,35,35,32,1,317,78,7,35,35,32,A,E,45,122,26,70,A
306,104,14,50,58,25,7,2954,822,55,313,377,187,N,E,116,222,15,750,N
236,56,6,41,19,21,5,1257,329,24,166,125,105,A,E,172,1,4,190,A
442,131,18,68,77,33,6,1416,398,47,210,203,136,A,E,233,7,7,550,A
199,53,5,29,22,21,3,514,120,8,57,40,39,A,W,152,3,5,75,A
283,77,14,45,47,26,16,6840,1910,259,915,1067,546,A,W,144,6,5,700,A
408,94,4,42,36,66,9,3573,866,59,429,365,410,N,W,282,487,19,535,N
303,71,3,18,30,36,3,344,76,3,20,36,45,N,E,468,47,6,100,N
404,92,11,54,49,18,6,1354,325,30,188,135,63,A,E,222,5,5,300,A
20,1,0,0,0,0,2,41,9,2,6,7,4,N,E,78,220,6,2127.333,N
591,157,16,90,78,26,4,2020,541,52,310,226,91,N,E,290,440,25,640,N
369,93,9,43,42,49,5,1258,323,54,181,177,157,A,E,149,1,6,350,A
220,54,10,30,39,31,5,1185,299,40,145,154,128,N,E,50,136,20,297.5,N
403,101,12,45,53,39,12,5150,1429,166,747,666,526,A,E,316,6,5,675,A
514,144,0,67,54,79,9,4739,1169,13,583,374,528,N,E,229,453,15,1940,N
408,117,11,66,41,34,1,408,117,11,66,41,34,N,W,942,72,11,120,N
19,4,1,2,3,1,1,19,4,1,2,3,1,N,W,692,70,8,920,A
637,174,31,89,116,56,14,6727,2024,247,978,1093,495,N,W,278,9,9,1041.667,N
160,39,8,18,31,22,14,2128,543,56,304,268,298,A,E,33,3,0,275,A
459,113,20,59,57,68,12,5348,1369,155,713,660,735,A,W,0,0,0,740,A
631,170,9,77,44,31,11,4908,1457,30,775,357,249,A,W,408,4,3,1000,A
512,117,29,54,88,43,6,1750,412,100,204,276,155,A,W,1236,98,18,100,A
216,54,2,27,25,33,1,216,54,2,27,25,33,N,W,317,36,1,75,N
486,145,11,51,76,40,11,3967,1102,67,410,497,284,N,E,88,204,16,500,A
265,68,8,26,30,29,7,1337,339,32,135,163,128,N,W,92,5,3,425,A
560,161,26,89,96,66,4,1789,470,65,233,260,155,N,W,332,9,8,625,N
600,139,0,94,29,60,2,1236,309,1,201,69,110,N,E,300,12,9,160,N
379,106,10,38,60,30,14,6207,1906,146,859,803,571,N,W,72,170,24,850,N
565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,A,E,292,9,5,1861.46,A
271,77,5,35,29,33,12,4933,1358,48,630,435,403,A,W,62,90,3,450,A
258,60,8,28,33,18,3,638,170,17,80,75,36,A,W,358,32,8,137,A
642,211,14,107,59,52,5,2364,770,27,352,230,193,N,W,337,19,4,740,N
429,91,12,41,42,57,13,5590,1397,83,578,579,644,A,W,686,46,4,825,N
438,103,2,65,32,71,2,440,103,2,67,32,71,A,W,276,7,9,100,N
330,77,19,47,53,27,6,1928,516,90,247,288,161,N,W,149,8,6,670,N
473,154,6,61,48,29,6,1966,566,29,250,252,178,A,E,846,84,9,580,A
627,177,25,98,81,70,6,3210,927,133,529,472,313,A,E,240,482,13,1350,A
280,82,16,44,45,47,2,428,113,25,61,70,63,A,E,148,4,2,110,A
