id,sex,age,height,weight,income,education,confession,children,happiness,fitness,food,alcohol,tattoos,rhine,datause,consultations,hiking,fasnacht,eyecor
1,male,44,174.3,113.4,6300,SEK_III,catholic,2,5,7,610,40,6,4,69,4,29,no,yes
2,male,65,180.3,75.2,10900,obligatory_school,confessionless,2,7,8,1550,0,5,2,89,3,56,no,no
3,female,31,168.3,55.5,5100,SEK_III,NA,2,7,6,720,14,3,6,102,7,57,no,yes
4,male,27,209,93.8,4200,SEK_III,catholic,2,7,8,680,39,6,0,110,3,88,no,yes
5,male,24,176.7,NA,4e3,SEK_III,catholic,1,5,4,260,19,0,1,82,4,65,no,yes
6,male,63,186.6,67.4,11400,SEK_III,evangelical-reformed,0,7,1,1240,0,0,3,73,0,37,no,yes
7,male,71,151.6,83.3,12e3,SEK_III,evangelical-reformed,2,8,5,1160,38,4,11,92,1,97,no,no
8,female,41,155.7,67.8,7600,SEK_III,confessionless,1,7,2,1350,0,3,1,111,4,46,no,no
9,male,43,176.1,69.3,8500,apprenticeship,catholic,2,7,5,150,50,1,9,95,6,65,no,yes
10,female,31,166.1,66.3,6100,SEK_II,catholic,1,6,7,700,0,0,3,92,3,66,no,yes
11,female,42,157.8,51.9,8e3,obligatory_school,catholic,2,9,7,1250,0,0,5,106,4,104,no,no
12,male,31,165.9,66,5900,apprenticeship,evangelical-reformed,3,5,1,1020,36,6,7,65,6,32,no,no
13,female,38,162.5,73.4,6200,apprenticeship,confessionless,2,7,4,990,17,3,4,100,3,92,no,yes
14,female,49,182.8,46.9,NA,SEK_III,evangelical-reformed,1,6,6,NA,19,6,5,65,4,23,no,no
15,female,39,160,NA,5600,SEK_III,other,2,7,4,540,35,7,4,122,7,50,no,no
16,female,54,139.7,50.3,10900,SEK_III,evangelical-reformed,3,6,4,1210,18,0,6,102,8,80,no,no
17,female,78,153.1,64.1,11e3,SEK_III,confessionless,2,7,2,970,32,0,3,102,6,58,no,yes
18,female,62,174.6,63.8,11500,SEK_III,confessionless,2,9,7,1790,0,0,5,119,3,42,no,no
19,male,88,191.4,99.8,14200,SEK_III,confessionless,2,7,3,1210,25,4,9,91,4,59,no,no
20,male,74,183.8,78.1,12100,apprenticeship,catholic,2,5,7,1110,35,1,0,91,2,81,no,yes
21,male,53,183.4,67.3,9600,SEK_III,catholic,4,6,3,730,37,0,6,77,2,71,no,no
22,male,28,167.9,82.7,NA,SEK_II,confessionless,0,8,5,NA,0,3,0,85,2,52,no,yes
23,male,77,171.7,90.9,NA,SEK_II,catholic,1,6,3,NA,18,0,5,112,2,74,no,no
24,female,56,161.6,70.1,8900,apprenticeship,catholic,1,7,6,1030,24,0,2,82,6,52,no,yes
25,male,31,178.2,93.8,5500,SEK_II,catholic,1,6,8,820,25,9,9,101,5,70,no,yes
26,male,45,195.9,93.3,NA,apprenticeship,muslim,0,7,6,NA,29,0,6,75,2,18,no,yes
27,female,36,154,61.4,7200,apprenticeship,catholic,3,6,7,1060,38,4,6,77,4,55,no,no
28,male,71,182.7,NA,11900,SEK_III,catholic,0,6,5,540,44,5,6,104,2,68,no,yes
29,male,50,184.8,91.5,NA,apprenticeship,catholic,3,7,3,NA,53,0,4,79,2,36,no,yes
30,male,56,202.6,98.3,NA,apprenticeship,confessionless,2,5,6,NA,0,0,9,88,1,83,no,yes
31,female,39,151.5,61.8,5700,apprenticeship,confessionless,1,7,7,640,30,6,6,112,3,46,no,no
32,male,39,177.4,96.7,5500,apprenticeship,catholic,0,6,6,750,35,6,3,78,4,34,no,yes
33,male,86,168.3,83,13800,SEK_III,catholic,2,7,3,1190,55,4,3,81,4,68,no,yes
34,male,77,189.3,70.6,13300,obligatory_school,evangelical-reformed,2,10,4,1270,56,0,8,63,6,60,no,no
35,female,24,175.2,71.4,4900,apprenticeship,evangelical-reformed,2,7,5,770,35,2,4,82,3,69,no,no
36,male,43,168.8,90.8,8800,SEK_III,catholic,4,6,5,1020,33,0,3,94,5,54,no,no
37,female,35,154.2,NA,6200,apprenticeship,evangelical-reformed,2,5,5,750,34,0,7,43,4,60,no,yes
38,female,70,167.8,NA,NA,SEK_III,catholic,3,7,3,NA,21,0,0,68,2,54,no,yes
39,female,28,166.6,66.3,6800,SEK_III,confessionless,0,5,5,690,34,0,5,110,4,54,no,yes
40,female,27,144.4,79,4900,apprenticeship,catholic,1,7,8,640,40,4,5,108,4,56,no,yes
41,male,19,181.8,86.9,5500,SEK_III,catholic,1,7,7,500,43,0,2,123,3,47,no,yes
42,female,30,164.4,77.7,6900,obligatory_school,evangelical-reformed,2,8,5,1050,12,0,2,78,2,40,no,yes
43,male,41,168.8,89.3,6300,SEK_III,NA,1,7,4,1370,28,0,5,101,4,100,no,yes
44,female,33,176.6,60.4,6e3,obligatory_school,catholic,3,7,4,880,14,0,2,90,3,74,no,yes
45,male,56,184.9,108.3,9300,SEK_III,confessionless,2,9,2,1090,51,3,1,83,4,43,no,no
46,male,45,184.1,103.8,5800,obligatory_school,catholic,1,7,5,1340,0,7,3,63,4,79,no,no
47,female,26,164.1,65.5,5100,SEK_III,confessionless,3,8,5,780,34,0,1,77,5,71,no,yes
48,male,60,170.6,82.9,10500,apprenticeship,catholic,1,8,6,1e3,34,2,8,97,1,43,no,yes
49,female,43,170.7,58.6,5800,apprenticeship,confessionless,2,6,8,850,15,7,1,126,3,88,no,yes
50,male,99,179.9,98.7,15400,apprenticeship,confessionless,1,7,5,1570,45,4,5,73,1,40,no,yes
51,male,32,167.8,83.4,5700,SEK_III,catholic,2,7,4,560,32,0,4,104,2,108,no,yes
52,male,34,199,105.2,5e3,SEK_III,catholic,4,6,5,440,52,4,4,78,4,64,no,no
53,female,47,156.5,NA,7e3,obligatory_school,NA,1,8,5,880,18,2,0,119,5,47,no,yes
54,male,58,195.8,93.7,8e3,apprenticeship,confessionless,1,6,3,160,53,0,5,96,3,30,no,no
55,male,31,182.9,NA,5600,obligatory_school,catholic,1,5,4,570,47,3,4,80,3,49,no,yes
56,female,77,164.1,70.7,11800,SEK_III,confessionless,0,7,5,1090,39,0,3,117,5,112,no,yes
57,male,65,175.6,87.4,11e3,SEK_III,NA,1,7,2,1620,40,0,1,89,2,88,no,no
58,female,43,158.1,58.4,7100,SEK_III,NA,4,9,5,920,25,0,5,93,5,54,no,yes
59,male,33,167.7,82.4,4700,SEK_III,confessionless,0,6,1,230,55,0,2,105,6,48,no,yes
60,female,31,161.7,63.9,4500,apprenticeship,catholic,2,7,6,180,49,0,4,49,6,38,no,yes
61,male,28,163.6,89.3,4500,SEK_III,confessionless,2,7,4,620,33,1,3,104,2,33,no,no
62,female,25,159.5,68.4,NA,SEK_III,confessionless,2,7,3,NA,28,4,3,86,6,36,no,no
63,female,62,172.2,NA,10600,SEK_III,NA,2,7,6,1440,0,1,6,88,6,60,no,no
64,female,52,170.1,69.5,7600,SEK_III,catholic,2,7,3,1020,21,6,6,73,3,48,yes,yes
65,female,57,178,66.4,12400,SEK_III,NA,2,7,5,1470,21,0,3,114,7,46,no,yes
66,female,40,162.8,64.5,7500,apprenticeship,evangelical-reformed,3,7,8,1080,32,6,9,105,7,43,no,no
67,male,72,157.3,82.5,9600,SEK_II,confessionless,2,7,5,1150,0,5,5,100,7,48,no,no
68,male,34,175.6,91.6,4400,SEK_III,catholic,3,7,5,-90,60,0,3,131,3,88,no,yes
69,male,62,174.5,NA,11600,SEK_III,catholic,4,7,8,1270,60,0,6,93,4,76,no,yes
70,female,49,168.1,56.1,7300,SEK_III,NA,2,8,1,440,29,7,4,87,1,74,no,no
71,female,52,160.7,63.3,NA,SEK_III,confessionless,1,8,7,NA,0,0,5,91,4,83,no,yes
72,male,54,184,99.7,7800,apprenticeship,other,2,7,5,470,41,0,7,41,3,51,no,yes
73,female,40,163.5,72.2,9800,SEK_III,catholic,1,7,5,940,23,0,3,118,5,50,no,no
74,male,59,185.8,NA,10100,SEK_III,catholic,5,7,8,1140,12,0,7,99,3,23,yes,no
75,male,51,188.9,88.6,7900,SEK_III,confessionless,1,7,4,680,38,0,7,96,3,86,no,no
76,male,61,185,91.3,11100,SEK_III,catholic,2,7,3,960,37,0,3,91,1,69,no,yes
77,female,51,163,69.2,7700,apprenticeship,NA,0,6,4,720,46,0,0,104,7,68,no,yes
78,female,51,170,63.4,NA,SEK_II,catholic,2,7,2,NA,25,0,0,62,7,47,no,no
79,female,59,175.2,62,8500,obligatory_school,muslim,3,6,3,1390,17,6,0,110,6,37,no,yes
80,female,48,184.7,NA,NA,SEK_III,evangelical-reformed,3,9,6,NA,25,3,4,86,5,41,no,yes
81,female,19,168.4,61.3,3900,apprenticeship,confessionless,2,7,7,330,26,0,4,94,7,36,no,yes
82,male,68,192.5,99.8,10700,apprenticeship,confessionless,1,6,3,1080,20,0,8,110,5,52,no,yes
83,female,35,160.6,56.4,5900,SEK_III,evangelical-reformed,2,7,7,890,0,3,2,103,7,87,no,yes
84,female,42,164.2,80.5,9900,SEK_III,NA,1,7,5,1250,21,0,2,101,5,74,no,yes
85,male,49,158.9,65.3,10200,apprenticeship,confessionless,1,9,7,1430,26,0,2,84,1,96,no,no
