BALANCE,BALANCE_FREQUENCY,PURCHASES,CREDIT_LIMIT,ONEOFF_PURCHASES,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
40.900749,0.818182,95.4,1000,0,139.509787,0,12
3202.467416,0.909091,0,7000,0,1072.340217,0.222222,12
2495.148862,1,773.17,7500,773.17,627.284787,0,12
817.714335,1,16,1200,16,244.791237,0,12
1809.828751,1,1333.28,1800,0,2407.246035,0,12
627.260806,1,7091.01,13500,6402.63,198.065894,1,12
1823.652743,1,436.2,2300,0,532.03399,0,12
1014.926473,1,861.49,7000,661.49,311.963409,0,12
152.225975,0.545455,1281.6,11000,1281.6,100.302262,0,12
1293.124939,1,920.12,1200,0,2172.697765,0,12
630.794744,0.818182,1492.18,2000,1492.18,155.549069,0,12
1516.92862,1,3217.99,3000,2500.23,490.207013,0.25,12
921.693369,1,2137.93,7500,419.96,251.137986,0.083333,12
2772.772734,1,0,3000,0,989.962866,0,12
6886.213231,1,1611.7,8000,0,2109.90649,0,12
2072.074354,0.875,0,3000,0,376.579631,0,8
41.089489,0.454545,519,2500,0,73.203221,0.25,12
1989.072228,1,504.35,13000,166,744.613395,0,12
3577.970933,1,398.64,4000,0,12465.54938,0,12
2016.684686,1,176.68,2000,0,13557.29726,0,12
6369.531318,1,6359.95,11250,5910.04,1659.775075,0,12
132.34224,0.636364,815.9,1800,0,86.329554,0,12
3800.151377,0.818182,4248.35,9000,3454.56,1425.426525,0,12
5368.571219,1,0,6000,0,1657.002877,0,11
169.781679,1,399.6,3000,0,163.005536,0,12
1615.96724,1,102,1700,102,971.183209,0,12
125.694817,1,233.28,1000,0,164.748819,0,12
7152.864372,1,387.05,10500,204.55,1648.851345,0,12
22.06349,1,100,6900,0,159.684442,0,12
12136.21996,1,3038.01,13000,1013.2,3292.01503,0,12
1162.273324,1,1347.71,6000,400,256.848991,0,12
6732.823064,1,324.95,10500,324.95,2506.745366,0,12
125.660453,1,636.79,1200,636.79,196.301885,0.3,12
3517.101616,0.727273,547.28,11000,0,17862.55831,0,12
1656.350781,1,0,1800,0,634.569311,0,12
7427.076941,1,0,9000,0,1986.843608,0,11
4047.480828,1,2380.55,5000,1642.17,1541.141605,0,12
6269.418144,1,204,9000,204,2049.408839,0,12
1411.60223,0.454545,963.24,7500,963.24,719.948985,0.333333,12
663.44781,0.727273,0,1800,0,283.333445,0.166667,12
784.889762,0.909091,1526.59,3000,786.3,363.142736,0.111111,12
4104.710798,1,203.82,4500,203.82,1801.264841,0,12
1360.742377,1,0,1500,0,321.354137,0,12
5315.945594,1,1525.44,8500,469.8,1318.71492,0,12
474.447149,0.5,109.74,1700,0,147.199792,0,8
229.867179,1,2390.6,3300,1402.93,175.657825,0.916667,12
863.809833,1,507.5,4000,507.5,286.448719,0.083333,12
4931.331857,1,901.42,12000,646.07,1012.415961,0,8
1078.888565,1,3107.85,2500,2221.74,1322.446601,0,12
1565.681099,1,0,3500,0,581.481917,0,12
464.674156,0.888889,1979.22,3000,1979.22,132.446091,0.2,9
2386.330629,1,5217.62,7500,4789.09,1311.514878,0.083333,12
